Name,Symbol,Year,Q1,Q2,Q3,Q4
SPDR S&P 500 ETF Trust,SPY,2018,-0.020910054496082964,0.009338876616530767,0.08166838971710755,-0.07820809566875642
SPDR S&P 500 ETF Trust,SPY,2017,0.04661694079171319,0.07352156435236967,0.11538798437457776,0.1847805844582151
SPDR S&P 500 ETF Trust,SPY,2016,0.02238583177971054,0.04208532123803721,0.07601232939278257,0.11197887786494154
SPDR S&P 500 ETF Trust,SPY,2015,0.004867838366612087,0.0020445574780176834,-0.06717611003739121,0.0024339191833060436
SPDR S&P 500 ETF Trust,SPY,2014,0.02235948162492929,0.06997596315267662,0.07708291189951155,0.1349224151630255
SPDR S&P 500 ETF Trust,SPY,2013,0.0726413856476702,0.09831576646843954,0.15028068817703955,0.25852396547163514
SPDR S&P 500 ETF Trust,SPY,2012,0.10439213771446076,0.06745102826286775,0.12917648016237737,0.09827450022977935
SPDR S&P 500 ETF Trust,SPY,2011,0.04360482607683158,0.038724896109927576,-0.10940575515150763,-0.012199945017918434
SPDR S&P 500 ETF Trust,SPY,2010,0.032383288711283376,-0.08920851007681907,0.0070589906418236925,0.10932673775227397
SPDR S&P 500 ETF Trust,SPY,2009,-0.14457834093988464,-0.010864911211032613,0.13586485991615715,0.2104130567043101
