Name,Symbol,CIK,Year,Sentiment,Q1,Q2,Q3,Q4
Dollar Tree,DLTR,935703,2018,0.04640995025126007,-0.12687460305248777,-0.21795935145164158,-0.24970097322685547,-0.19284201503051757
Dollar Tree,DLTR,935703,2017,0.046967127260494575,0.013040699496804642,-0.09722400356360217,0.12098131847369542,0.3855390805283856
Dollar Tree,DLTR,935703,2016,0.04930072198464568,0.04631394034957559,0.19578734656987984,0.0015226843078228747,-0.02068262027550627
Dollar Tree,DLTR,935703,2015,0.03229846569132278,0.15351817037680093,0.1228144929217978,-0.05245195297863603,0.10334050362680935
Dollar Tree,DLTR,935703,2014,0.038497924061753855,-0.07482271465483548,-0.034397205477309956,-0.005851096136996858,0.25354601126742504
Dollar Tree,DLTR,935703,2013,0.06900986694464954,0.21378442238315132,0.27418541875526903,0.4325813950242199,0.41228060950255396
Dollar Tree,DLTR,935703,2012,0.07063746302716893,0.14630592640961693,0.30534997059031777,0.17166082098134394,-0.039184803408653934
Dollar Tree,DLTR,935703,2011,0.07449918247537292,-0.018213948597577634,0.17807256667338756,0.3287356393172993,0.4696728865008486
Dollar Tree,DLTR,935703,2010,0.05379782573748092,0.2293958246766159,0.29634625349149313,0.5183723161800255,0.7559683537732835
Dollar Tree,DLTR,935703,2009,0.05462163601927381,0.059453078542395454,0.0011891105586376849,0.15766951476233437,0.15766951476233437
Eastman Chemical,EMN,915389,2018,0.08787061994609162,0.11997460051697306,0.06035857265329336,0.015381400543874602,-0.23305393416415798
Eastman Chemical,EMN,915389,2017,0.09292149292149293,0.06427825343136861,0.10629609970308462,0.1919125401241646,0.22023184436195575
Eastman Chemical,EMN,915389,2016,0.10080174927113698,0.08404632049160643,0.01906054817368008,0.015758713718151185,0.12877085674222433
Eastman Chemical,EMN,915389,2015,0.09749240121580544,-0.09440377750779172,0.06982212478428851,-0.15376571155922047,-0.11349372285806603
Eastman Chemical,EMN,915389,2014,0.09935410334346502,0.07386647228879939,0.0880667638556003,0.007598413298791407,-0.0460886522733277
Eastman Chemical,EMN,915389,2013,0.06003909026297085,0.00128982471853889,0.0032961215385092224,0.11636576223316242,0.14502727032985496
Eastman Chemical,EMN,915389,2012,0.0,0.2858208369578492,0.2529850242769418,0.41815913531252846,0.6430348706025295
Eastman Chemical,EMN,915389,2011,0.045859985785358916,0.16367898617993482,0.19589925623458315,-0.1970708845404865,-0.08470996903100425
Eastman Chemical,EMN,915389,2010,0.0,0.03125506567086278,-0.13587043545989375,0.19838056680161942,0.35951412061930665
Eastman Chemical,EMN,915389,2009,0.0,-0.1888620310399045,0.14709444538990857,0.6204600312334103,0.8532081672389098
Equifax Inc.,EFX,33185,2018,0.06054548112187948,-0.014472171186915905,0.04659527900422433,0.09227042265530616,-0.22318889159143596
Equifax Inc.,EFX,33185,2017,0.060901799146480085,0.15139780257252444,0.1571235744111037,-0.10752782117511561,-0.007073121860688314
Equifax Inc.,EFX,33185,2016,0.06756719927545271,0.044221143008107644,0.17313839631446903,0.229602609259973,0.08021933899955602
Equifax Inc.,EFX,33185,2015,0.06981478107730621,0.14363010758741046,0.19392519309207668,0.19503198069196515,0.3867436924036767
Equifax Inc.,EFX,33185,2014,0.06053761035552376,-0.006135839118632691,0.05975170415825981,0.09189190936390346,0.19152667925266043
Equifax Inc.,EFX,33185,2013,0.0671755011293055,0.052064274511014474,0.07654363350809357,0.09335032223180262,0.26689799685193405
Equifax Inc.,EFX,33185,2012,0.06260758024359063,0.1398402326660675,0.2001029172461246,0.19958793805159858,0.37419516080672355
Equifax Inc.,EFX,33185,2011,0.06726964376405721,0.07201977579391539,-0.04194261554537482,-0.15176605001695243,0.06898454426632816
Equifax Inc.,EFX,33185,2010,0.0,0.13759135742556539,-0.10835716307006893,-0.008579553743442991,0.14362893116410747
Equifax Inc.,EFX,33185,2009,0.0,-0.11573232910449183,-0.05605783936509645,0.05388787673326423,0.13598554360781923
"United Rentals, Inc.",URI,1067701,2018,0.0,-0.004896912631346395,-0.1495564376081413,-0.05749507790219166,-0.4152552199026367
"United Rentals, Inc.",URI,1067701,2017,0.0,0.14399419856108686,0.031104213720765994,0.2692343664063743,0.5726832632116743
"United Rentals, Inc.",URI,1067701,2016,0.0,-0.12111366945724666,-0.051724188123439596,0.10924244621498058,0.49208590508218375
"United Rentals, Inc.",URI,1067701,2015,0.0,-0.11999221078488131,-0.15416540357060682,-0.4203108276865942,-0.29838784752817626
"United Rentals, Inc.",URI,1067701,2014,0.0,0.2412080676286148,0.3691986701772456,0.4524774686488131,0.3612237632954596
"United Rentals, Inc.",URI,1067701,2013,0.0,0.1473596617778401,0.04174493855916861,0.21665625341628791,0.6069713652467941
"United Rentals, Inc.",URI,1067701,2012,0.0,0.4810083130370182,0.17541443341337692,0.12948895436984387,0.4751382103326136
"United Rentals, Inc.",URI,1067701,2011,0.05060911139614845,0.4551813536536984,0.110625215848557,-0.26366420924222556,0.29208562101876434
"United Rentals, Inc.",URI,1067701,2010,0.04268764193456818,-0.06573703684459942,-0.07171317427932755,0.47808767021638054,1.265936263589503
"United Rentals, Inc.",URI,1067701,2009,0.03948047466681009,-0.5311803727443689,-0.27728283942630005,0.14699339819451818,0.11247219157767474
Phillips 66,PSX,1534701,2018,0.0,-0.057297315292920814,0.10378375978961918,0.10781327981035016,-0.16501229401009676
Phillips 66,PSX,1534701,2017,0.0,-0.08722202575146987,-0.0472404474118121,0.05553634801220397,0.16545685515464092
Phillips 66,PSX,1534701,2016,0.0,0.08129363583894667,-0.009240827625419556,0.005869145978476542,0.07904597510386102
